structural_system,Pd_inside|CS1,Pd_inside|CS2,Pd_inside|CS3,Pd_outside|CS1,Pd_outside|CS2,Pd_outside|CS3,Median_PGA_chd,beta_chd
RC1L,0.0959,0.0959,0.0959,0.0312,0.0312,0.0312,0.00,0.00
RC1M,0.0738,0.0738,0.0738,0.0240,0.0240,0.0240,0.00,0.00
RC1H,0.0369,0.0369,0.0369,0.0120,0.0120,0.0120,0.00,0.00
RC2,0.0959,0.0959,0.0959,0.0312,0.0312,0.0312,0.00,0.00
PC2,0.0959,0.0959,0.0959,0.0312,0.0312,0.0312,0.00,0.00
RC3L,0.1624,0.1624,0.7380,0.0528,0.0528,0.2400,168.92,2.05
RC3M,0.0812,0.0812,0.3690,0.0264,0.0264,0.1200,129.69,2.01
RC3H,0.0406,0.0406,0.1845,0.0132,0.0132,0.0600,0.00,0.00
PC3L,0.1624,0.1624,0.7380,0.0528,0.0528,0.2400,168.92,2.05
PC3M,0.0812,0.0812,0.3690,0.0264,0.0264,0.1200,129.69,2.01
PC3H,0.0406,0.0406,0.1845,0.0132,0.0132,0.0600,0.00,0.00
W2,0.0076,0.0076,0.0076,0.0072,0.0072,0.0072,0.00,0.00
W3,0.0076,0.0076,0.0076,0.0072,0.0072,0.0072,286.68,2.14
S1L,0.0590,0.0590,0.0590,0.0192,0.0192,0.0192,0.00,0.00
S1H,0.0369,0.0369,0.0369,0.0120,0.0120,0.0120,0.00,0.00
S1M,0.0221,0.0221,0.0221,0.0072,0.0072,0.0072,0.00,0.00
S2L,0.0590,0.0590,0.0590,0.0192,0.0192,0.0192,0.00,0.00
S2H,0.0369,0.0369,0.0369,0.0120,0.0120,0.0120,0.00,0.00
S2M,0.0221,0.0221,0.0221,0.0072,0.0072,0.0072,0.00,0.00
S3,0.0221,0.0221,0.0221,0.0072,0.0072,0.0072,0.00,0.00
URM1F_B,0.3150,0.3150,0.3150,0.2000,0.2000,0.2000,0.00,0.00
URM1F_HA,0.4200,0.4200,0.4200,0.2500,0.2500,0.2500,422.92,2.19
URM1F_HC,0.4200,0.4200,0.4200,0.2500,0.2500,0.2500,422.92,2.19
URM2L,0.0000,0.0000,0.5040,0.0400,0.0800,0.6000,129.69,2.01
URM3L,0.4200,0.4200,0.4200,0.5000,0.5000,0.5000,168.92,2.05
URM3M_U,0.0252,0.0395,0.4200,0.0402,0.0630,0.6700,129.69,2.01
URM3M_D,0.0302,0.0302,0.5040,0.0480,0.0480,0.8000,129.69,2.01
URM3M_B,0.0042,0.0109,0.4200,0.0020,0.0052,0.2000,677.59,2.26
URM4L,0.4200,0.4200,0.4200,0.5000,0.5000,0.5000,168.92,2.05
URM5L,0.2520,0.2520,0.5040,0.3000,0.3000,0.6000,168.92,2.05
URM6L,0.5040,0.5040,0.5040,0.3000,0.3000,0.3000,422.92,2.19
URM7L,0.0000,0.0126,0.5040,0.0120,0.0120,0.3000,422.92,2.19
URM8L,0.0000,0.0000,0.5040,0.0720,0.1200,0.3000,422.92,2.19
URM9L,0.0126,0.0252,0.5040,0.0075,0.0150,0.6000,209.76,2.09
URM10,0.4200,0.4200,0.4200,0.5000,0.5000,0.5000,0.00,0.00
